arrival_time,start_time,completion_time,queued
0.6254396512405564,0.6254396512405564,1.250879302481113,0
0.6871293720788871,0.6871293720788871,0.7488190929172178,0
0.6887748612652564,0.6887748612652564,0.6904203504516258,0
1.1244613837256838,1.1244613837256838,1.5601479061861112,0
1.2212570296173726,1.2212570296173726,1.3180526755090614,0
1.2437444474121366,1.2437444474121366,1.2662318652069007,0
1.4497648261421388,1.4497648261421388,1.6557852048721409,0
1.500419301268661,1.500419301268661,1.5510737763951834,0
1.7099293810760052,1.7099293810760052,1.9194394608833494,0
1.9000369562175723,1.9000369562175723,2.0901445313591394,0
2.370056125814012,2.370056125814012,2.840075295410452,0
2.7690824802178513,2.7690824802178513,3.168108834621691,0
3.1837480762908292,3.1837480762908292,3.598413672363807,0
3.9468626012540415,3.9468626012540415,4.709977126217254,0
4.38453263462817,4.38453263462817,4.822202668002298,0
4.3924640168680265,4.3924640168680265,4.400395399107883,0
4.611704160489529,4.611704160489529,4.830944304111031,0
4.615357595526069,4.615357595526069,4.619011030562609,0
5.074123602369672,5.074123602369672,5.532889609213274,0
5.203958920095919,5.203958920095919,5.333794237822166,0
5.70302858563355,5.70302858563355,6.202098251171182,0
5.885125199426926,5.885125199426926,6.067221813220302,0
5.981010604009297,5.981010604009297,6.076896008591668,0
6.216121706227779,6.216121706227779,6.45123280844626,0
6.277031305293559,6.277031305293559,6.33794090435934,0
6.530088276173668,6.530088276173668,6.783145247053778,0
6.531087012649262,6.531087012649262,6.532085749124857,0
6.619634276292967,6.619634276292967,6.708181539936671,0
6.805706150395957,6.805706150395957,6.991778024498947,0
7.0386795473963915,7.0386795473963915,7.271652944396826,0
7.147315419067532,7.147315419067532,7.255951290738672,0
7.149588375140816,7.149588375140816,7.1518613312141,0
7.5521598833150625,7.5521598833150625,7.954731391489309,0
7.554126627394317,7.554126627394317,7.556093371473572,0
7.7576779307936246,7.7576779307936246,7.961229234192932,0
7.764931243862949,7.764931243862949,7.772184556932274,0
8.846072016835524,8.846072016835524,9.927212789808099,0
9.07745356911892,9.07745356911892,9.308835121402314,0
9.081727351952399,9.081727351952399,9.086001134785878,0
9.93804748720578,9.93804748720578,10.794367622459163,0
9.970332407193213,9.970332407193213,10.002617327180646,0
10.492727502880697,10.492727502880697,11.015122598568182,0
11.122433220170675,11.122433220170675,11.752138937460654,0
11.13202821057686,11.13202821057686,11.141623200983046,0
11.439581693273949,11.439581693273949,11.747135175971037,0
11.989652067980867,11.989652067980867,12.539722442687784,0
12.233583285322293,12.233583285322293,12.47751450266372,0
12.317830983864024,12.317830983864024,12.402078682405755,0
12.342544339626885,12.342544339626885,12.367257695389746,0
12.364679217135391,12.367257695389746,12.389392572898252,1
12.853602111115393,12.853602111115393,13.342525005095395,0
12.907471912228502,12.907471912228502,12.96134171334161,0
13.324102828504932,13.324102828504932,13.740733744781362,0
13.352936673438617,13.352936673438617,13.381770518372301,0
13.717666653890086,13.717666653890086,14.082396634341556,0
14.07746851253264,14.07746851253264,14.437270371175194,0
14.768478908031744,14.768478908031744,15.459489303530848,0
14.774270698582319,14.774270698582319,14.780062489132893,0
14.99775654767105,14.99775654767105,15.221242396759783,0
15.917848334375428,15.917848334375428,16.837940121079804,0
16.644649331143615,16.644649331143615,17.371450327911802,0
16.677187387167965,16.677187387167965,16.709725443192315,0
16.880731958454707,16.880731958454707,17.084276529741448,0
17.38569818158047,17.38569818158047,17.890664404706232,0
17.74974956920477,17.74974956920477,18.11380095682907,0
17.998718288699042,17.998718288699042,18.247687008193314,0
18.40541581804614,18.40541581804614,18.81211334739324,0
18.76191368738633,18.76191368738633,19.118411556726517,0
18.94189674394512,18.94189674394512,19.12187980050391,0
19.6148332937895,19.6148332937895,20.28776984363388,0
19.635942703484215,19.635942703484215,19.65705211317893,0
19.684316790700784,19.684316790700784,19.732690877917353,0
20.333150589420633,20.333150589420633,20.981984388140482,0
20.37674013780865,20.37674013780865,20.420329686196666,0
20.378367723193644,20.378367723193644,20.37999530857864,0
20.60683697211384,20.60683697211384,20.835306221034035,0
20.958277358473836,20.958277358473836,21.309717744833833,0
21.304611147404017,21.304611147404017,21.6509449363342,0
21.385673381638963,21.385673381638963,21.466735615873908,0
21.43454502350117,21.43454502350117,21.483416665363375,0
21.500416431477543,21.500416431477543,21.566287839453917,0
21.587536336987576,21.587536336987576,21.67465624249761,0
21.835209159536326,21.835209159536326,22.082881982085077,0
22.070357101244408,22.070357101244408,22.30550504295249,0
22.191157196505483,22.191157196505483,22.311957291766557,0
22.224140605164248,22.224140605164248,22.257124013823013,0
22.263753913684788,22.263753913684788,22.303367222205328,0
22.86224656164014,22.86224656164014,23.460739209595495,0
22.902910259597835,22.902910259597835,22.94357395755553,0
22.953859032526513,22.953859032526513,23.00480780545519,0
23.01894544475834,23.01894544475834,23.08403185699017,0
23.20695897272692,23.20695897272692,23.3949725006955,0
23.275608102552564,23.275608102552564,23.344257232378208,0
23.461495636511433,23.461495636511433,23.647383170470302,0
23.710060735004536,23.710060735004536,23.95862583349764,0
23.83870525251101,23.83870525251101,23.96734977001748,0
23.880841011185712,23.880841011185712,23.922976769860416,0
23.98526071454822,23.98526071454822,24.08968041791073,0
24.21808412211988,24.21808412211988,24.450907529691538,0
24.411495713409018,24.411495713409018,24.604907304698155,0
