icao_code,iata_code,airport_name,city,country,lat_degrees,lat_minutes,lat_seconds,lat_direction,lon_degrees,lon_minutes,lon_seconds,lon_direction,altitude,lat_dec,lon_dec
SBCT,CWB,AFONSO PENA,CURITIBA,BRAZIL,025,031,042,S,049,010,032,W,00911,-25.528,-49.176
SBCV,CRQ,CARAVELAS,CARAVELAS,BRAZIL,017,039,008,S,039,015,011,W,00011,-17.652,-39.253
SBCX,CXJ,CAMPO DOS BUGRES,CAXIAS DO SUL,BRAZIL,029,011,049,S,051,011,015,W,00754,-29.197,-51.188
SBCY,CGB,MARECHAL RONDON,CUIABA,BRAZIL,015,039,010,S,056,007,000,W,00188,-15.653,-56.117
SBCZ,CZS,CRUZEIRO DO SUL,CRUIZIRO DO SUL,BRAZIL,007,036,000,S,072,046,010,W,00195,-7.6,-72.769
SBDN,PPB,PRESIDENTE PRUDENTE,PRESIDENT PRUDENTE,BRAZIL,022,010,030,S,051,025,028,W,00451,-22.175,-51.424
SBEG,MAO,EDUARDO GOMES INTERNATIONAL,MANAUS,BRAZIL,003,002,019,S,060,002,059,W,00081,-3.039,-60.05
SBEK,N/A,JACAREACANGA,JACARE-ACANGA,BRAZIL,006,013,059,S,057,046,036,W,00099,-6.233,-57.777
SBEN,N/A,N/A,MACAE,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBES,N/A,SAO PEDRO DA ALDEIA,SAO PEDRO DA ALDEIA,BRAZIL,022,048,046,S,042,005,033,W,00019,-22.813,-42.093
SBET,N/A,N/A,PEDREGULHO,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBFC,FRC,FRANCA,FRANCA,BRAZIL,020,035,031,S,047,022,058,W,01004,-20.592,-47.383
SBFI,IGU,CATARATAS INTERNATIONAL,FOZ DO IGUACU,BRAZIL,025,035,046,S,054,029,013,W,00240,-25.596,-54.487
SBFL,FLN,HERCILIO LUZ,FLORIANOPOLIS,BRAZIL,027,040,021,S,048,032,052,W,00006,-27.672,-48.548
SBFN,FEN,FERNANDO DE NORONHA,FERNANDO DO NORONHA,BRAZIL,003,051,017,S,032,025,024,W,00055,-3.855,-32.423
SBFT,N/A,FRONTEIRA,FRONTEIRA,BRAZIL,020,016,042,S,049,011,014,W,00488,-20.278,-49.187
SBFU,N/A,FURNAS,ALPINOPOLIS,BRAZIL,020,042,010,S,046,020,006,W,00736,-20.703,-46.335
SBFZ,FOR,PINTO MARTINS INTERNATIONAL,FORTALEZA,BRAZIL,003,046,034,S,038,031,057,W,00025,-3.776,-38.532
SBGA,N/A,N/A,BRASILIA,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBGL,GIG,GALEAO ANTONIO CARLOS JOBIM,RIO DE JANEIRO,BRAZIL,022,048,032,S,043,014,037,W,00009,-22.809,-43.244
SBGM,N/A,GUAJARA MIRIM,GUAJARA-MIRIM,BRAZIL,010,047,010,S,065,017,005,W,00146,-10.786,-65.285
SBGO,GYN,SANTA GENOVEVA,GOIANIA,BRAZIL,016,037,052,S,049,013,020,W,00747,-16.631,-49.222
SBGP,N/A,N/A,MACAE,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBGR,GRU,GUARULHOS,SAO PAULO,BRAZIL,023,025,056,S,046,028,009,W,00750,-23.432,-46.469
SBGS,N/A,PONTA GROSSA,PONTA GROSSA,BRAZIL,025,011,004,S,050,008,038,W,00789,-25.184,-50.144
SBGW,N/A,GUARATINGUETA,GUARATINGUETA,BRAZIL,022,047,029,S,045,012,017,W,00537,-22.791,-45.205
SBHT,ATM,ALTAMIRA,ALTAMIRA,BRAZIL,003,015,014,S,052,015,014,W,00113,-3.254,-52.254
SBIC,N/A,ITACOATIARA,ITAITUBA,BRAZIL,003,007,038,S,058,028,052,W,00044,-3.127,-58.481
SBIH,N/A,ITAITUBA,ITAITUBA,BRAZIL,004,014,032,S,056,000,002,W,00034,-4.242,-56.001
SBIL,IOS,ILHEUS,ILHEUS,BRAZIL,014,048,057,S,039,001,059,W,00005,-14.816,-39.033
SBIP,IPN,USIMINAS,IPATINGA,BRAZIL,019,028,014,S,042,029,015,W,00239,-19.471,-42.488
SBIT,N/A,HIDROELETRICA,ITUMBIARA,BRAZIL,018,026,040,S,049,012,048,W,00497,-18.444,-49.213
SBIZ,IMP,IMPERATRIZ,IMPERATRIZ,BRAZIL,005,031,052,S,047,027,036,W,00132,-5.531,-47.46
SBJA,RIJ,N/A,RIOJA,PERU,000,000,000,U,000,000,000,U,00000,0,0
SBJC,N/A,JULIO CESAR,BELEM,BRAZIL,001,024,050,S,048,027,038,W,00016,-1.414,-48.461
SBJF,JDF,FRANCISCO DE ASSIS,JUIZ DE FORA,BRAZIL,021,047,029,S,043,023,012,W,00912,-21.791,-43.387
SBJP,JPA,INTL. PRES. CASTRO PINTO,JOAO PESSOA,BRAZIL,007,016,011,S,035,053,046,W,00502,-7.27,-35.896
SBJR,N/A,N/A,RIO DE JANEIRO,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBJV,JOI,JOINVILLE,JOINVILLE,BRAZIL,026,013,029,S,048,047,050,W,00005,-26.225,-48.797
SBKG,CPV,N/A,CAMPINA GRANDE,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBKP,VCP,VIRACOPOS,CAMPINAS,BRAZIL,023,000,029,S,047,008,004,W,00662,-23.008,-47.134
SBLJ,N/A,LAGES,LAJES,BRAZIL,027,046,055,S,050,016,053,W,00935,-27.782,-50.281
SBLN,LIP,LINS,LINS,BRAZIL,021,039,050,S,049,043,049,W,00476,-21.664,-49.73
SBLO,LDB,LONDRINA,LONDRINA,BRAZIL,023,020,001,S,051,007,048,W,00570,-23.334,-51.13
SBLP,LAZ,BOM JESUS DA LAPA,BOM JESUS DA LAPA,BRAZIL,013,015,043,S,043,024,029,W,00444,-13.262,-43.408
SBLS,N/A,LAGOA SANTA,LAGOA SANTA,BRAZIL,019,039,041,S,043,053,047,W,00852,-19.661,-43.896
SBMA,MAB,MARABA,MARABA,BRAZIL,005,022,006,S,049,008,016,W,00109,-5.368,-49.138
SBMD,N/A,MONTE DOURADO,ALMEIRIM,BRAZIL,000,053,023,S,052,036,008,W,00207,-0.89,-52.602
SBMG,MGF,MARINGA,MARINGA,BRAZIL,023,026,023,S,051,054,025,W,00559,-23.44,-51.907
SBMK,MOC,MONTES CLAROS,MONTES CLAROS,BRAZIL,016,042,024,S,043,049,008,W,00668,-16.707,-43.819
SBML,N/A,MARILIA,MARILIA,BRAZIL,022,011,048,S,049,055,035,W,00647,-22.197,-49.926
SBMN,N/A,PONTA PELADA,MANAUS,BRAZIL,003,008,044,S,059,059,010,W,00082,-3.146,-59.986
SBMO,MCZ,ZUMBI DOS PALMARES,MACEIO,BRAZIL,009,030,037,S,035,047,036,W,00118,-9.51,-35.793
SBMQ,MCP,MACAPA,MACAPA,BRAZIL,000,003,002,N,051,004,019,W,00018,0.051,-51.072
SBMR,N/A,N/A,MANOEL RIBAS,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBMS,N/A,DIX SEPT ROSADO,MOCORD,BRAZIL,005,012,006,S,037,021,051,W,00024,-5.202,-37.364
SBMT,N/A,MARTE,SAO PAULO,BRAZIL,023,030,032,S,046,038,015,W,00722,-23.509,-46.638
SBMY,N/A,MANICORE,MANICORE,BRAZIL,005,048,041,S,061,016,043,W,00054,-5.811,-61.279
SBNF,NVT,NAVEGANTES ITAJAI,NAVEGANTES,BRAZIL,026,052,048,S,048,039,005,W,00006,-26.88,-48.651
SBNM,GEL,SANTO ANGELO,SANTO ANGELO,BRAZIL,028,016,054,S,054,010,008,W,00322,-28.282,-54.169
SBNT,NAT,AUGUSTO SEVERO,NATAL,BRAZIL,005,054,040,S,035,014,052,W,00052,-5.911,-35.248
SBOI,N/A,OIAPOQUE,OIOIAPOQUE,BRAZIL,003,051,019,N,051,047,048,W,00020,3.855,-51.797
SBOU,OUS,N/A,OURINHOS,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBPA,POA,SALGADO FILHO,PORTO ALEGRE,BRAZIL,029,059,039,S,051,010,017,W,00004,-29.994,-51.171
SBPB,N/A,PARNAIBA,PARNAIBA,BRAZIL,002,053,037,S,041,043,055,W,00005,-2.894,-41.732
SBPC,POO,POCOS DE CALDAS,POCOS DE CALDAS,BRAZIL,021,050,034,S,046,034,004,W,01261,-21.843,-46.568
SBPF,PFB,LAURO KURTZ,PASSO FUNDO,BRAZIL,028,014,038,S,052,019,035,W,00725,-28.244,-52.326
SBPG,N/A,N/A,PARANAGUA,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBPI,N/A,N/A,PETROPOLIS,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBPK,PET,PELOTAS,PELOTAS,BRAZIL,031,043,006,S,052,019,039,W,00018,-31.718,-52.328
SBPL,PNZ,PETROLINA,PETROLINA,BRAZIL,009,021,050,S,040,033,050,W,00385,-9.364,-40.564
SBPN,PNB,PORTO NACIONAL,PORTO NACIONAL,BRAZIL,010,043,009,S,048,023,059,W,00266,-10.719,-48.4
SBPP,PMG,PONTA PORA,PONTA PORA,BRAZIL,022,032,058,S,055,042,009,W,00658,-22.549,-55.703
